window_id,truth_regime,predicted_regime,policy,throughput,latency,pressure,coherence,regime_confidence,pareto_efficient,throughput_score,latency_score,pressure_score,coherence_score_obj,objective_throughput_first,objective_latency_first,objective_balanced_constraint,objective_profile,objective_score
95,low_entropy_repeating,low_entropy_repeating,coherent_local,1720.0241215637618,0.5899348625674389,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
96,sequential_ids,sequential_ids,simd,1481.1724155186841,0.6751662298566261,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
97,uniform_32bit,uniform_32bit,simd,1877.7847516933255,0.5361968850539671,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
98,zipfian_smallints,zipfian_smallints,hybrid,1542.8233514585459,0.6429632613332456,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
99,clustered_ranges,clustered_ranges,guarded_fallback,1164.1653840877682,0.8856814747370995,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
0,low_entropy_repeating,low_entropy_repeating,coherent_local,1769.6993438899196,0.5734710745964838,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
1,sequential_ids,sequential_ids,simd,1452.7805287688884,0.6886768518272186,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,latency_first,0.8214285714285717
2,uniform_32bit,uniform_32bit,simd,1922.1670701597252,0.5238165541133398,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
3,zipfian_smallints,zipfian_smallints,hybrid,1548.8392225695695,0.640479288745468,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
4,clustered_ranges,clustered_ranges,guarded_fallback,1197.2184693227616,0.8619934303186875,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
5,low_entropy_repeating,low_entropy_repeating,coherent_local,1759.592906689557,0.5768206366400325,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
