window_id,start,end,truth_regime,n,approx_entropy_bits,repetition_ratio,locality_small_delta_ratio,digit_length_entropy,digit_length_transition_rate,cache_window_reuse_proxy,branch_pressure_score,delta_abs_mean,entropy_norm,delta_norm,branch_norm,simd_suitability,scalar_suitability,fragmentation_score,coherence_score,hardware_pressure_proxy,adaptive_policy,adaptive_throughput_raw,fixed_scalar_throughput,fixed_simd_throughput,policy_changed,adaptive_throughput_with_switch_cost,best_fixed_baseline,adaptive_gain_vs_best_fixed,adaptive_gain_pct_vs_best_fixed
13,65000,70000,zipfian_smallints,5000,0.36553450086017625,0.6984,0.272254450890178,2.391457661588744,0.7429485897179436,0.35236378205128205,0.718565051151256,58065571.98339668,0.0028714730026025456,0.8422110501544803,0.8370478778210438,0.43337519904176547,0.3414490756714257,0.7569042642395958,0.3600241856257693,0.771108424609003,hybrid,1550,1200,1500,True,1503.5,1500,3.5,0.23333333333333334
14,70000,75000,zipfian_smallints,5000,0.3889018864225913,0.6984,0.27425485097019403,2.400233579555709,0.7421484296859372,0.34715544871794873,0.718546505775514,74965105.08541708,0.005923648128265065,0.8547310368930096,0.8370258920742873,0.43930698461835543,0.34028699462355416,0.757596333962884,0.3596282917354075,0.7710834865041193,hybrid,1550,1200,1500,False,1550.0,1500,50.0,3.3333333333333335
15,75000,80000,zipfian_smallints,5000,0.3601827181428574,0.6806,0.26605321064212845,2.421875297708951,0.7443488697739548,0.34435096153846156,0.7229681753658423,62427695.975195035,0.0021724398119137146,0.8457612543156193,0.8422678299679353,0.4343399472406921,0.3356397107131082,0.7631168199083169,0.3522566464401387,0.7770705663131324,hybrid,1550,1200,1500,False,1550.0,1500,50.0,3.3333333333333335
16,80000,85000,clustered_ranges,5000,1.5848002633393286,0.512,0.013602720544108821,1.7527362912531959,0.6873374674934987,0.008413461538461538,0.852858215873944,2208923.7917583515,0.16212816955818404,0.681989064153443,0.9962539004866763,0.4289027204908127,0.09200869857448908,0.9921300736711562,0.12221180402234734,0.9920144715319833,guarded_fallback,1200,900,950,True,1164.0,950,214.0,22.526315789473685
17,85000,90000,clustered_ranges,5000,1.5844967574744238,0.5162,0.010402080416083216,1.742378934159929,0.6917383476695339,0.009615384615384616,0.8557184513825842,2224625.4628925784,0.16208852656736333,0.6823362198015757,0.9996447411162642,0.42798631560101863,0.09040530559444213,0.9943156632236477,0.12109378377399951,0.9947043839688557,guarded_fallback,1200,900,950,False,1200.0,950,250.0,26.31578947368421
18,90000,95000,clustered_ranges,5000,1.5849276716884058,0.5107999999999999,0.010802160432086417,1.7713124583574669,0.6933386677335467,0.011017628205128206,0.8560181186878402,2250719.799559912,0.16214481123993388,0.6829077678148338,1.0,0.4279012773144061,0.09087156348877533,0.9940049448190921,0.12063129142998882,0.9945422875640834,guarded_fallback,1200,900,950,False,1200.0,950,250.0,26.31578947368421
19,95000,100000,clustered_ranges,5000,1.5848511804134584,0.5036,0.011402280456091218,1.7489756633108955,0.6885377075415083,0.007612179487179487,0.8543287343366109,2222166.599519904,0.16213482018782832,0.6822820177529808,0.9979972162852208,0.42869128026611825,0.09056166591569775,0.9937750183197271,0.1195593371505459,0.9937951080559368,guarded_fallback,1200,900,950,False,1200.0,950,250.0,26.31578947368421
20,100000,105000,sequential_ids,5000,7.9995285498004485,0.0,1.0,-0.0,0.0,0.0,0.2,1.0,1.0,0.0,0.22228331063198883,0.5944291723420028,0.5444291723420027,0.35002748978439496,0.5574862551078025,0.24808594703941445,simd,1450,1350,1450,True,1406.5,1450,-43.5,-3.0
21,105000,110000,sequential_ids,5000,7.9995285498004485,0.0,1.0,-0.0,0.0,0.0,0.2,1.0,1.0,0.0,0.22228331063198883,0.5944291723420028,0.5444291723420027,0.35002748978439496,0.5574862551078025,0.24808594703941445,simd,1450,1350,1450,False,1450.0,1450,0.0,0.0
22,110000,115000,sequential_ids,5000,7.9995285498004485,0.0,1.0,-0.0,0.0,0.0,0.2,1.0,1.0,0.0,0.22228331063198883,0.5944291723420028,0.5444291723420027,0.35002748978439496,0.5574862551078025,0.24808594703941445,simd,1450,1350,1450,False,1450.0,1450,0.0,0.0
23,115000,120000,sequential_ids,5000,7.9995285498004485,0.0,1.0,-0.0,0.0,0.0,0.2,1.0,1.0,0.0,0.22228331063198883,0.5944291723420028,0.5444291723420027,0.35002748978439496,0.5574862551078025,0.24808594703941445,simd,1450,1350,1450,False,1450.0,1450,0.0,0.0
24,120000,125000,uniform_32bit,5000,7.960889363578961,0.0,0.0,0.9090500011422395,0.3650730146029206,0.0,0.7142828565713142,1428500129.7631526,0.9949530698354738,0.9991855471960955,0.8319712890850448,0.7904603867062406,0.042511870745191416,0.9243870800882701,0.03803357181326862,0.9164057163198098,guarded_fallback,1200,1100,1900,True,1164.0,1900,-736.0,-38.73684210526316
25,125000,130000,uniform_32bit,5000,7.965362945830133,0.0,0.0,0.8914939190860915,0.35367073414682937,0.0,0.7091518303660731,1446504360.155231,0.995537395216384,0.9997994081188079,0.8258884011285622,0.7923420413635381,0.04397416019622105,0.921649780507853,0.03937592696133624,0.9133794795614598,guarded_fallback,1200,1100,1900,False,1200.0,1900,-700.0,-36.8421052631579
26,130000,135000,uniform_32bit,5000,7.962674470678269,0.0,0.0,0.9047531028300504,0.3694738947789558,0.0,0.7162632526505301,1449008736.7311463,0.9951862349651627,0.9998841898897034,0.834319070401582,0.7901762576022914,0.04190160890308822,0.9254435816807118,0.03749482858621174,0.917573737524787,guarded_fallback,1200,1100,1900,False,1200.0,1900,-700.0,-36.8421052631579
27,135000,140000,uniform_32bit,5000,7.960071156961216,0.0,0.0,0.9138959245995599,0.3672734546909382,0.0,0.7152730546109223,1452436670.3278656,0.9948461982353256,1.0,0.8331451797433136,0.790425254623003,0.04222908524063904,0.9249153308844911,0.0377742556371648,0.9169897269222986,guarded_fallback,1200,1100,1900,False,1200.0,1900,-700.0,-36.8421052631579
28,140000,145000,low_entropy_repeating,5000,2.0,0.9992,1.0,-0.0,0.0,0.9375,0.0125,1.4996999399879976,0.21636026604293754,0.010930724462742961,0.0,0.31729082007269443,0.9596139733957062,0.015625,0.9778000380280678,0.00859375,coherent_local,1750,1650,1400,True,1697.5,1650,47.5,2.878787878787879
29,145000,150000,low_entropy_repeating,5000,2.0,0.9992,1.0,-0.0,0.0,0.9375,0.0125,1.4996999399879976,0.21636026604293754,0.010930724462742961,0.0,0.31729082007269443,0.9596139733957062,0.015625,0.9778000380280678,0.00859375,coherent_local,1750,1650,1400,False,1750.0,1650,100.0,6.0606060606060606
30,150000,155000,low_entropy_repeating,5000,2.0,0.9992,1.0,-0.0,0.0,0.9375,0.0125,1.4996999399879976,0.21636026604293754,0.010930724462742961,0.0,0.31729082007269443,0.9596139733957062,0.015625,0.9778000380280678,0.00859375,coherent_local,1750,1650,1400,False,1750.0,1650,100.0,6.0606060606060606
31,155000,160000,low_entropy_repeating,5000,2.0,0.9992,1.0,-0.0,0.0,0.9375,0.0125,1.4996999399879976,0.21636026604293754,0.010930724462742961,0.0,0.31729082007269443,0.9596139733957062,0.015625,0.9778000380280678,0.00859375,coherent_local,1750,1650,1400,False,1750.0,1650,100.0,6.0606060606060606
